date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:35	867/867	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:5354847bac31903d878aec3ff95822c5%22	https://republicofpie.com/robots.txt		(from )
20:12:36	481046/481046	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7c414a2503288649a3b57e0e65cd50b7%22	https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/index5088.html	(from )
20:12:36	194932/194932	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:9eebf759591c42ccec41114a73beb205%22	https://republicofpie.com/judge.me	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/judge.me	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Aug%202025%2000:12:37%20GMT	http://republicofpie.com/cdn/shop/files/favicon-32x32_ROP.png?crop=center&height=32&v=1726194508&width=32	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/files/favicon-32x32_ROP.1576a.delayed	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:38	481046/481046	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7c414a2503288649a3b57e0e65cd50b7%22	https://republicofpie.com/	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/index.html	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:39	2922/2922	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Jul%202025%2021:42:14%20GMT	https://republicofpie.com/cdn/shop/files/favicon-32x32_ROP.png?crop=center&height=32&v=1726194508&width=32	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/files/favicon-32x32_ROP576a.png	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Aug%202025%2000:12:40%20GMT	http://republicofpie.com/cdn/shop/t/12/assets/constants.js?v=166496526592656215881724388177	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/t/12/assets/constants3e95.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:41	164/164	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2008%20Jul%202025%2013:23:16%20GMT	https://republicofpie.com/cdn/shop/t/12/assets/constants.js?v=166496526592656215881724388177	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/t/12/assets/constants3e95.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Aug%202025%2000:12:42%20GMT	http://republicofpie.com/cdn/shop/t/12/assets/pubsub.js?v=178039640156621776291724388635	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/t/12/assets/pubsub8034.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:43	265/265	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2014%20Jul%202025%2015:29:37%20GMT	https://republicofpie.com/cdn/shop/t/12/assets/pubsub.js?v=178039640156621776291724388635	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/t/12/assets/pubsub8034.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Aug%202025%2000:12:44%20GMT	http://republicofpie.com/cdn/shop/t/12/assets/global.js?v=71955388083311296341724388326	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/t/12/assets/global631a.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:46	28682/28682	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2017%20Jul%202025%2008:51:49%20GMT	https://republicofpie.com/cdn/shop/t/12/assets/global.js?v=71955388083311296341724388326	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/t/12/assets/global631a.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Aug%202025%2000:12:46%20GMT	http://republicofpie.com/cdn/shop/t/12/assets/custom.js?v=63448204455590477171730334504	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/t/12/assets/customcec6.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:47	4301/4301	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2003%20Dec%202024%2019:06:17%20GMT	https://republicofpie.com/cdn/shop/t/12/assets/custom.js?v=63448204455590477171730334504	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shop/t/12/assets/customcec6.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:48	4117/4117	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2007%20Aug%202025%2000:12:48%20GMT	https://republicofpie.com/checkouts/internal/preloads.js?locale=en-US	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/checkouts/internal/preloadsc494.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Aug%202025%2000:12:49%20GMT	http://republicofpie.com/cdn/shopifycloud/shop-js/client.js	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shopifycloud/shop-js/client.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Aug%202025%2000:12:51%20GMT	http://republicofpie.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-81c60534.js	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-81c60534.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
20:12:52	13334/13334	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2022%20Jul%202025%2023:51:35%20GMT	https://republicofpie.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-81c60534.js	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/republicofpie.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-81c60534.js	(from https://republicofpie.com/?srsltid=AfmBOoqXSZDgvvH9KmlnQlrNZ30juaePjFfULJHD-5DtQUY-xPPT9ApM)
